handle,possibly_sensitive_avg_of_nonreply_tweets,is_retweet_avg_of_nonreply_tweets,contains_quote_avg_of_nonreply_tweets,num_referenced_tweets_avg_of_nonreply_tweets,num_hashtags_avg_of_nonreply_tweets,num_mentions_avg_of_nonreply_tweets,num_cashtags_avg_of_nonreply_tweets,num_polls_avg_of_nonreply_tweets,interaction_score_avg_of_nonreply_tweets,lang_mode_of_nonreply_tweets,reply_settings_mode_of_nonreply_tweets,source_mode_of_nonreply_tweets,possibly_sensitive_avg_of_reply_tweets,is_retweet_avg_of_reply_tweets,contains_quote_avg_of_reply_tweets,num_referenced_tweets_avg_of_reply_tweets,num_hashtags_avg_of_reply_tweets,num_mentions_avg_of_reply_tweets,num_cashtags_avg_of_reply_tweets,num_polls_avg_of_reply_tweets,tweet_word_count_avg_of_reply_tweets,lang_mode_of_reply_tweets,reply_settings_mode_of_reply_tweets,source_mode_of_reply_tweets,replyPercentage,following_count,verified,protected,created_at,hasPinnedTweet,urlsInDescription,hashtagsInDescription,userWebsitesAdded,cashtagsInDescription,mentionsInDescription
Outback,0.0,0.05897114178168131,0.12797992471769135,0.18820577164366373,0.2685069008782936,0.2534504391468005,0.0,0.025094102885821833,0.0003066702282271792,en,everyone,Khoros Publishing,0.0,0.0125,0.025,0.85,0.1,0.9625,0.0,0.0,10.825,en,everyone,Sprout Social,0.8125,9373,True,False,2009-02-12T21:49:37.000Z,False,0,0,1,0,0
PFChangs,0.0,0.0025,0.005,0.02625,0.3125,0.03375,0.0,0.01375,0.0003109954268532137,en,everyone,Sprout Social,0.0,0.0,0.0,0.7125,0.0875,0.7625,0.0,0.0,28.5625,en,everyone,Emplifi,0.7125,9072,True,False,2008-11-21T22:32:45.000Z,False,0,0,1,0,0
PandaExpress,0.0,0.14411027568922305,0.2781954887218045,0.4799498746867168,0.6942355889724311,0.7380952380952381,0.0,0.0,0.028722806515326747,en,everyone,Khoros Publishing App,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,11.189873417721518,en,everyone,Khoros CX,1.0,2022,True,False,2009-03-13T15:47:43.000Z,False,0,0,1,0,0
PapaJohns,0.0,0.016270337922403004,0.03128911138923655,0.1802252816020025,0.46808510638297873,0.15143929912390489,0.0,0.04130162703379224,0.00019278985012779017,en,everyone,Sprinklr,0.0,0.0,0.0,0.9375,0.025,0.875,0.0,0.0,10.075,en,everyone,Sprinklr,0.9375,5313,True,False,2008-12-29T14:22:23.000Z,True,0,0,1,0,1
PitaPitUSA,0.0,0.07327586206896551,0.23419540229885058,0.3117816091954023,0.3390804597701149,0.16666666666666666,0.0,0.007183908045977011,0.0008643651918332722,en,everyone,Hootsuite Inc.,0.0,0.0125,0.05,0.7125,0.075,0.75,0.0,0.0,12.3,en,everyone,Twitter Web App,0.65,1780,True,False,2009-12-23T18:45:28.000Z,False,0,1,1,0,0
Popeyes,0.0,0.06382978723404255,0.08886107634543179,0.25156445556946183,0.2928660826032541,0.18397997496871088,0.0,0.02002503128911139,0.012562370702981135,en,everyone,Twitter Web App,0.0,0.0,0.0125,1.0125,0.175,1.2,0.0,0.0,25.9625,en,everyone,Sprinklr,1.0,5309,True,False,2008-05-13T12:25:25.000Z,False,0,0,1,0,0
Potbelly,0.0,0.42181340341655715,0.12089356110381078,0.6636005256241787,0.08278580814717477,0.8134034165571616,0.0,0.006570302233902759,0.02624250908192503,en,everyone,Twitter for iPhone,0.0,0.0875,0.1125,0.6875,0.1125,0.825,0.0,0.025,16.025,en,everyone,Twitter Web App,0.4875,90,True,False,2008-10-29T16:19:49.000Z,False,1,0,1,0,0
Quiznos,0.0,0.022556390977443608,0.02506265664160401,0.047619047619047616,1.3659147869674186,0.12781954887218044,0.0,0.008771929824561403,0.0007870262351983233,en,everyone,Twitter Web App,0.0,0.025,0.0125,0.075,0.5,0.4125,0.0,0.0,34.1625,en,everyone,Twitter Web App,0.0375,4187,True,False,2008-12-01T22:44:38.000Z,False,0,0,1,0,0
RoundTablePizza,0.0,0.03508771929824561,0.12155388471177944,0.17418546365914786,0.13408521303258145,0.15664160401002505,0.0,0.03508771929824561,0.0005755926943532191,en,everyone,Twitter Web App,0.0,0.0,0.0,0.75,0.1375,1.15,0.0,0.0,19.675,en,everyone,Twitter Web App,0.75,2570,True,False,2009-03-12T17:44:50.000Z,True,0,0,1,0,0
RuthsChris,0.0,0.09240506329113925,0.010126582278481013,0.12278481012658228,0.2848101265822785,0.330379746835443,0.0037974683544303796,0.0012658227848101266,0.0019711304776443986,en,everyone,Hootsuite,0.0,0.0,0.0,0.725,0.0125,0.9,0.0,0.0,37.2375,en,everyone,Sprout Social,0.725,366,True,False,2012-07-19T18:14:06.000Z,False,0,1,1,0,0
